Var1 Var2 loglik
1 2_163029526 2_163029526 -957.545263524539
2 2_163045161 2_163029526 -957.503571893323
3 2_163061794 2_163029526 -957.468097942757
4 2_163078427 2_163029526 -957.531050754804
5 2_163095060 2_163029526 -957.694508585464
6 2_163111693 2_163029526 -957.893141276977
7 2_163125708 2_163029526 -957.877710908296
8 2_163137394 2_163029526 -957.250422864712
9 2_163149080 2_163029526 -956.679452980433
10 2_163154021 2_163029526 -956.526548212641
11 2_163156127 2_163029526 -956.385721207427
12 2_163157556 2_163029526 -956.260311856933
13 2_163158891 2_163029526 -956.15329525604
14 2_163160225 2_163029526 -956.066971309276
15 2_163161559 2_163029526 -956.002705348314
16 2_163162894 2_163029526 -955.960789348264
17 2_163164228 2_163029526 -955.940438909729
18 2_163165562 2_163029526 -955.939939420954
19 2_163166897 2_163029526 -955.956250832435
20 2_163262650 2_163029526 -955.918543436467
21 2_163413317 2_163029526 -956.196361675974
22 2_163495816 2_163029526 -953.992328730963
23 2_163507977 2_163029526 -954.283220158834
24 2_163520139 2_163029526 -954.653264847763
25 2_163582672 2_163029526 -955.094825113033
26 2_164022416 2_163029526 -956.30376893737
27 2_164027702 2_163029526 -955.740089900631
28 2_164032987 2_163029526 -955.361308575212
29 2_164064248 2_163029526 -955.088172130727
30 2_164070405 2_163029526 -955.073901577392
31 2_164076561 2_163029526 -955.059598297356
32 2_164255184 2_163029526 -954.630234712634
33 2_164291807 2_163029526 -952.785626502116
34 2_164314068 2_163029526 -953.257631269204
35 2_164325529 2_163029526 -953.508533315494
36 2_164336991 2_163029526 -953.770728230835
37 2_164348452 2_163029526 -954.091360640843
38 2_164605360 2_163029526 -954.391147980941
39 2_164617986 2_163029526 -954.244415213476
40 2_164628884 2_163029526 -954.102281566282
41 2_164636687 2_163029526 -953.9581855089
42 2_164648869 2_163029526 -953.83229973962
43 2_164668920 2_163029526 -953.816000920111
44 2_164758936 2_163029526 -953.743905413055
45 2_165053217 2_163029526 -954.199371085924
46 2_165121823 2_163029526 -954.39314197262
47 2_165132678 2_163029526 -954.34259641907
48 2_165143532 2_163029526 -955.439646487203
49 2_165154046 2_163029526 -956.185587905682
50 2_165157220 2_163029526 -956.252093934108
51 2_165160395 2_163029526 -956.402309216669
52 2_165163569 2_163029526 -956.597018873591
53 2_165195982 2_163029526 -956.657127086895
54 2_165223558 2_163029526 -956.6382122458
55 2_165251135 2_163029526 -956.609216657111
56 2_165276843 2_163029526 -956.86261004461
57 2_165283031 2_163029526 -956.925487358682
58 2_165290201 2_163029526 -956.630501627403
59 2_165297626 2_163029526 -955.480274099083
