Var1 Var2 loglik
1 2_163029526 2_163029526 -929.089352266849
2 2_163045161 2_163029526 -929.13441866153
3 2_163061794 2_163029526 -929.169434237099
4 2_163078427 2_163029526 -929.456761156048
5 2_163095060 2_163029526 -930.91495855209
6 2_163111693 2_163029526 -933.751451970428
7 2_163125708 2_163029526 -937.895168983651
8 2_163137394 2_163029526 -939.844386449357
9 2_163149080 2_163029526 -940.68646205739
10 2_163154021 2_163029526 -941.457919760924
11 2_163156127 2_163029526 -942.460031676155
12 2_163157556 2_163029526 -943.689362627713
13 2_163158891 2_163029526 -945.129314940572
14 2_163160225 2_163029526 -946.750045768104
15 2_163161559 2_163029526 -948.510367071958
16 2_163162894 2_163029526 -950.361523162996
17 2_163164228 2_163029526 -952.252092002891
18 2_163165562 2_163029526 -954.133049860411
19 2_163166897 2_163029526 -955.961910132114
20 2_163262650 2_163029526 -957.172739827946
21 2_163413317 2_163029526 -957.195877992222
22 2_163495816 2_163029526 -958.091977170456
23 2_163507977 2_163029526 -958.818002282567
24 2_163520139 2_163029526 -959.635635303501
25 2_163582672 2_163029526 -960.358856391655
26 2_164022416 2_163029526 -960.527548017375
27 2_164027702 2_163029526 -962.1400699108
28 2_164032987 2_163029526 -963.094599293765
29 2_164064248 2_163029526 -963.87027484194
30 2_164070405 2_163029526 -963.870475078187
31 2_164076561 2_163029526 -963.870702185556
32 2_164255184 2_163029526 -961.869598101035
33 2_164291807 2_163029526 -967.474702838909
34 2_164314068 2_163029526 -968.890790814105
35 2_164325529 2_163029526 -969.295374586596
36 2_164336991 2_163029526 -969.616978972564
37 2_164348452 2_163029526 -969.574829411649
38 2_164605360 2_163029526 -969.849540898834
39 2_164617986 2_163029526 -969.945730888231
40 2_164628884 2_163029526 -970.067068183556
41 2_164636687 2_163029526 -970.186385539201
42 2_164648869 2_163029526 -970.242213709038
43 2_164668920 2_163029526 -970.064756385218
44 2_164758936 2_163029526 -969.230165334188
45 2_165053217 2_163029526 -970.084986258756
46 2_165121823 2_163029526 -970.25697433415
47 2_165132678 2_163029526 -970.32693981689
48 2_165143532 2_163029526 -974.067918524417
49 2_165154046 2_163029526 -976.278314826713
50 2_165157220 2_163029526 -976.681620870223
51 2_165160395 2_163029526 -977.070709368308
52 2_165163569 2_163029526 -977.369306916231
53 2_165195982 2_163029526 -977.518833360349
54 2_165223558 2_163029526 -977.533417434632
55 2_165251135 2_163029526 -977.525822215664
56 2_165276843 2_163029526 -978.781103238056
57 2_165283031 2_163029526 -979.952739102268
58 2_165290201 2_163029526 -979.893388980525
59 2_165297626 2_163029526 -979.740218866691
60 2_165445995 2_163029526 -979.676031311655
61 2_165451594 2_163029526 -979.582748112315
62 2_165457194 2_163029526 -979.486877157035
63 2_165462793 2_163029526 -979.425062204584
64 2_165468393 2_163029526 -979.371410253743
65 2_165473992 2_163029526 -979.316547790098
66 2_165479592 2_163029526 -979.260523557364
67 2_165485905 2_163029526 -982.130430106033
68 2_165495439 2_163029526 -982.191951349634
69 2_165565236 2_163029526 -982.340008886112
70 2_165569910 2_163029526 -982.410922843226
71 2_165574583 2_163029526 -982.551746338952
72 2_165581587 2_163029526 -982.697405768052
73 2_165605467 2_163029526 -982.715608952587
74 2_165629348 2_163029526 -982.774190295163
75 2_165653228 2_163029526 -982.834790874552
76 2_165677109 2_163029526 -982.880374482507
77 2_165700989 2_163029526 -982.915695810066
78 2_165704891 2_163029526 -983.002224143963
79 2_165706625 2_163029526 -983.097250258093
80 2_165708359 2_163029526 -983.200682452884
81 2_165710093 2_163029526 -983.312317364777
82 2_165711827 2_163029526 -983.431846068353
83 2_165713561 2_163029526 -983.60173183904
84 2_165715295 2_163029526 -983.797283543828
85 2_165717029 2_163029526 -984.008603162709
86 2_165718763 2_163029526 -984.235836545005
87 2_165720497 2_163029526 -984.478648781441
88 2_165722231 2_163029526 -984.735938345005
89 2_165723965 2_163029526 -985.003125392315
90 2_165725699 2_163029526 -985.188097150162
91 2_165802549 2_163029526 -985.251665861592
92 2_165851320 2_163029526 -985.282385585314
93 2_165858793 2_163029526 -985.36241377183
94 2_165864624 2_163029526 -985.533243232897
95 2_165868565 2_163029526 -985.695626559975
96 2_165872506 2_163029526 -985.848086423556
97 2_165876447 2_163029526 -985.989428108815
98 2_165880388 2_163029526 -986.118799739837
99 2_165884329 2_163029526 -986.219867519137
100 2_165888270 2_163029526 -986.314379747071
101 2_165892211 2_163029526 -986.412406984099
102 2_165896152 2_163029526 -986.486123855026
103 2_165900093 2_163029526 -986.555603822718
104 2_165912941 2_163029526 -986.584209437767
105 2_165925276 2_163029526 -986.571922853473
106 2_165925359 2_163029526 -986.561787256617
107 2_165925441 2_163029526 -986.554572518569
108 2_165930685 2_163029526 -986.501339991542
109 2_166172164 2_163029526 -986.12907397655
110 2_166181382 2_163029526 -985.378599130136
111 2_166190600 2_163029526 -984.821385322433
112 2_166324274 2_163029526 -984.878633530708
113 2_166325217 2_163029526 -985.141807666978
114 2_166326020 2_163029526 -985.41140875773
115 2_166326823 2_163029526 -985.668485309634
116 2_166327627 2_163029526 -985.824914050918
117 2_166328430 2_163029526 -985.919368592338
118 2_166377584 2_163029526 -986.007697742821
119 2_166382507 2_163029526 -986.073176012933
120 2_166387430 2_163029526 -986.139215835573
121 2_166394815 2_163029526 -986.205778173461
122 2_166403288 2_163029526 -986.243455813306
123 2_166407404 2_163029526 -986.269100050557
124 2_166411519 2_163029526 -986.214474233872
125 2_166415634 2_163029526 -986.1601065263
126 2_166419069 2_163029526 -986.107419472054
127 2_166422503 2_163029526 -986.058039458407
128 2_166425938 2_163029526 -986.013714172443
129 2_166429372 2_163029526 -985.976186729058
130 2_166432807 2_163029526 -985.947058946416
131 2_166439999 2_163029526 -985.927735457792
132 2_166448156 2_163029526 -985.919792891466
133 2_166475596 2_163029526 -985.931158415299
134 2_166491355 2_163029526 -986.136920252981
135 2_166507114 2_163029526 -986.319447231508
136 2_166522873 2_163029526 -986.5100008411
137 2_166537635 2_163029526 -986.633398532837
138 2_166552260 2_163029526 -986.68323235062
139 2_166566886 2_163029526 -987.182385975207
140 2_166581511 2_163029526 -987.226349901921
141 2_166592132 2_163029526 -987.391809909784
142 2_166599166 2_163029526 -987.611180444518
143 2_166606199 2_163029526 -987.8224388676
144 2_166613233 2_163029526 -987.931515346139
145 2_166623650 2_163029526 -987.893323073215
146 2_166754477 2_163029526 -987.948352481806
147 2_166783106 2_163029526 -987.860929466252
148 2_166802407 2_163029526 -987.786803313696
149 2_166805057 2_163029526 -987.724769620546
150 2_166807706 2_163029526 -987.674632090177
151 2_166811338 2_163029526 -987.632338815459
152 2_166839967 2_163029526 -987.623529958757
153 2_166951357 2_163029526 -987.105083084392
154 2_166992184 2_163029526 -987.13786403508
155 2_167033011 2_163029526 -987.232653193333
156 2_167073838 2_163029526 -987.008051534536
157 2_167142758 2_163029526 -987.221241409566
158 2_167274124 2_163029526 -987.701112493508
159 2_167282638 2_163029526 -987.967580398921
160 2_167286179 2_163029526 -988.194876167442
161 2_167289719 2_163029526 -988.377895029456
162 2_167293260 2_163029526 -988.495771003083
163 2_167306473 2_163029526 -988.540597477069
164 2_167322761 2_163029526 -988.608560461392
165 2_167349466 2_163029526 -988.647085108403
166 2_167360748 2_163029526 -988.652648166506
167 2_167372030 2_163029526 -988.659196648677
168 2_167396998 2_163029526 -988.666827910685
169 2_167523201 2_163029526 -988.58329814672
170 2_167545144 2_163029526 -988.505767059258
171 2_167556235 2_163029526 -988.425139969529
172 2_167567326 2_163029526 -988.389561377682
173 2_167647654 2_163029526 -988.169526431183
174 2_167755373 2_163029526 -988.180027763498
175 2_167788738 2_163029526 -988.194792642114
176 2_167822104 2_163029526 -988.209629031316
177 2_167836721 2_163029526 -988.227246245028
178 2_167845502 2_163029526 -988.24539010356
179 2_167854284 2_163029526 -988.263035459923
180 2_167858563 2_163029526 -988.279964101373
181 2_163029526 2_163045161 -929.108652031119
182 2_163045161 2_163045161 -929.153715136884
183 2_163061794 2_163045161 -929.188733373004
184 2_163078427 2_163045161 -929.47586108113
185 2_163095060 2_163045161 -930.933751325326
186 2_163111693 2_163045161 -933.769936937457
187 2_163125708 2_163045161 -937.913249445856
188 2_163137394 2_163045161 -939.862089975499
189 2_163149080 2_163045161 -940.703794032764
190 2_163154021 2_163045161 -941.475223954172
191 2_163156127 2_163045161 -942.47729244258
192 2_163157556 2_163045161 -943.706562625036
193 2_163158891 2_163045161 -945.146435061104
194 2_163160225 2_163045161 -946.767065299755
195 2_163161559 2_163045161 -948.527264095113
196 2_163162894 2_163045161 -950.378275125385
197 2_163164228 2_163045161 -952.268676396576
198 2_163165562 2_163045161 -954.14944489678
199 2_163166897 2_163045161 -955.97809609253
200 2_163262650 2_163045161 -957.188755915968
201 2_163413317 2_163045161 -957.21195878314
202 2_163495816 2_163045161 -958.108038383311
203 2_163507977 2_163045161 -958.834339109224
204 2_163520139 2_163045161 -959.652247603378
205 2_163582672 2_163045161 -960.375881602874
206 2_164022416 2_163045161 -960.544815241037
207 2_164027702 2_163045161 -962.157413666497
208 2_164032987 2_163045161 -963.111848486193
209 2_164064248 2_163045161 -963.8875025561
