Var1 Var2 loglik
1 2_163029526 2_163029526 -948.912084001028
2 2_163045161 2_163029526 -948.819185173007
3 2_163061794 2_163029526 -948.734983701363
4 2_163078427 2_163029526 -948.165697442039
5 2_163095060 2_163029526 -947.391760199766
6 2_163111693 2_163029526 -946.758459672075
7 2_163125708 2_163029526 -946.4236337841
8 2_163137394 2_163029526 -946.032729249618
9 2_163149080 2_163029526 -945.113387325146
10 2_163154021 2_163029526 -944.444517640239
11 2_163156127 2_163029526 -943.828926784305
12 2_163157556 2_163029526 -943.273522015723
13 2_163158891 2_163029526 -942.784789608388
14 2_163160225 2_163029526 -942.36837722874
15 2_163161559 2_163029526 -942.028717478886
16 2_163162894 2_163029526 -941.768716300427
17 2_163164228 2_163029526 -941.589631100094
18 2_163165562 2_163029526 -941.491122309568
19 2_163166897 2_163029526 -941.471091124473
20 2_163262650 2_163029526 -941.387103389942
21 2_163413317 2_163029526 -941.427402388241
22 2_163495816 2_163029526 -938.531358044607
23 2_163507977 2_163029526 -937.168689068922
24 2_163520139 2_163029526 -936.913755802841
25 2_163582672 2_163029526 -937.681081842338
26 2_164022416 2_163029526 -924.635767495922
27 2_164027702 2_163029526 -923.292982729904
28 2_164032987 2_163029526 -922.884129687303
29 2_164064248 2_163029526 -922.583157201494
30 2_164070405 2_163029526 -922.591600347297
31 2_164076561 2_163029526 -922.600419190041
32 2_164255184 2_163029526 -919.077615206134
33 2_164291807 2_163029526 -908.03433326877
34 2_164314068 2_163029526 -905.503725192224
35 2_164325529 2_163029526 -904.548575421449
36 2_164336991 2_163029526 -903.374736220708
37 2_164348452 2_163029526 -901.577750013771
38 2_164605360 2_163029526 -901.268726544405
39 2_164617986 2_163029526 -900.788600098903
40 2_164628884 2_163029526 -900.478072780568
41 2_164636687 2_163029526 -900.428802990804
42 2_164648869 2_163029526 -900.619285335705
43 2_164668920 2_163029526 -900.600965489414
44 2_164758936 2_163029526 -900.498065615269
45 2_165053217 2_163029526 -901.793118403568
46 2_165121823 2_163029526 -901.759879644722
47 2_165132678 2_163029526 -901.755655645157
48 2_165143532 2_163029526 -901.437332518444
49 2_165154046 2_163029526 -903.596325291887
50 2_165157220 2_163029526 -903.787049967551
51 2_165160395 2_163029526 -904.479911372431
52 2_165163569 2_163029526 -907.755421619342
53 2_165195982 2_163029526 -908.428771509603
54 2_165223558 2_163029526 -908.401646911815
55 2_165251135 2_163029526 -908.362900191069
56 2_165276843 2_163029526 -910.100292635759
57 2_165283031 2_163029526 -914.320338335216
58 2_165290201 2_163029526 -913.87651267197
59 2_165297626 2_163029526 -917.357208244263
60 2_165445995 2_163029526 -921.728692387064
61 2_165451594 2_163029526 -922.364916561417
62 2_165457194 2_163029526 -923.221435902983
63 2_165462793 2_163029526 -923.741177486526
64 2_165468393 2_163029526 -924.174296624507
65 2_165473992 2_163029526 -924.645611613015
66 2_165479592 2_163029526 -925.152836393324
67 2_165485905 2_163029526 -927.852907720299
68 2_165495439 2_163029526 -928.750791555222
69 2_165565236 2_163029526 -929.170344214038
70 2_165569910 2_163029526 -929.322882954379
71 2_165574583 2_163029526 -929.49588894197
72 2_165581587 2_163029526 -929.553752428232
73 2_165605467 2_163029526 -929.58339973535
74 2_165629348 2_163029526 -929.613770131718
75 2_165653228 2_163029526 -929.65238482929
76 2_165677109 2_163029526 -929.690979774079
77 2_165700989 2_163029526 -929.750594895176
78 2_165704891 2_163029526 -929.918971755957
79 2_165706625 2_163029526 -930.144815131754
80 2_165708359 2_163029526 -930.428446339989
81 2_165710093 2_163029526 -930.769679395944
82 2_165711827 2_163029526 -931.167809851918
83 2_165713561 2_163029526 -931.862802784211
84 2_165715295 2_163029526 -932.870036503926
85 2_165717029 2_163029526 -934.143134808248
86 2_165718763 2_163029526 -935.662535402346
87 2_165720497 2_163029526 -937.392577404796
88 2_165722231 2_163029526 -939.281993417929
89 2_165723965 2_163029526 -941.221906154887
90 2_165725699 2_163029526 -941.569691611369
91 2_165802549 2_163029526 -941.669232804614
92 2_165851320 2_163029526 -941.672829023938
93 2_165858793 2_163029526 -941.767655550085
94 2_165864624 2_163029526 -942.097622127699
95 2_165868565 2_163029526 -942.466657829741
96 2_165872506 2_163029526 -942.874931783202
97 2_165876447 2_163029526 -943.322217176762
98 2_165880388 2_163029526 -943.807829566904
99 2_165884329 2_163029526 -944.334463169367
100 2_165888270 2_163029526 -944.896844312459
101 2_165892211 2_163029526 -945.490718428872
102 2_165896152 2_163029526 -945.941303013919
103 2_165900093 2_163029526 -946.360248276791
104 2_165912941 2_163029526 -946.767115403885
105 2_165925276 2_163029526 -947.155470471312
106 2_165925359 2_163029526 -947.548568748299
107 2_165925441 2_163029526 -947.943752982277
108 2_165930685 2_163029526 -948.383860700807
109 2_166172164 2_163029526 -948.723747672825
110 2_166181382 2_163029526 -949.326406111125
111 2_166190600 2_163029526 -950.256138776628
112 2_166324274 2_163029526 -951.033930079192
113 2_166325217 2_163029526 -951.041631727561
114 2_166326020 2_163029526 -951.188046560038
115 2_166326823 2_163029526 -951.495952650615
116 2_166327627 2_163029526 -951.676446667805
117 2_166328430 2_163029526 -951.712389523633
118 2_166377584 2_163029526 -951.762102831686
119 2_166382507 2_163029526 -951.786518586087
120 2_166387430 2_163029526 -951.808853452425
121 2_166394815 2_163029526 -951.828790457964
